player_name,date_of_birth,position,nationality,image_url,age
Jonathan Ludovic Biabiany,1988-04-28,Attacker,France,https://img.a.transfermarkt.technology/portrait/medium/45567-1448967724.jpg?lm=1,28
Danilo D''Ambrosio,1988-09-09,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/55769-1595925735.jpg?lm=1,27
Martín Montoya Torralbo,1991-04-14,Defender,Spain,https://img.a.transfermarkt.technology/portrait/medium/68645-1691487947.jpg?lm=1,25
Eder Citadin Martins,1986-11-15,Attacker,Brazil,https://img.a.transfermarkt.technology/portrait/medium/37418-1609843623.jpg?lm=1,29
Juan Pablo Carrizo,1984-05-06,Goalkeeper,Argentina,https://img.a.transfermarkt.technology/portrait/medium/39118-1410340416.jpg?lm=1,32
Ionuț Andrei Radu,1997-05-28,Goalkeeper,Romania,https://img.a.transfermarkt.technology/portrait/medium/303657-1699432718.jpg?lm=1,19
Fabio Della Giovanna,1997-03-21,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/291392-1505224934.jpg?lm=1,19
Ştefan Daniel Radu,1986-10-22,Defender,Romania,https://img.a.transfermarkt.technology/portrait/medium/44420-1688474820.jpg?lm=1,29
Ricardo Kishna,1995-01-04,Attacker,Netherlands,https://img.a.transfermarkt.technology/portrait/medium/159026-1448468222.jpg?lm=1,21
Antonio Candreva,1987-02-28,Attacker,Italy,https://img.a.transfermarkt.technology/portrait/medium/25488-1630591271.jpg?lm=1,29
Keita Baldé Diao,1995-03-08,Attacker,Senegal,https://img.a.transfermarkt.technology/portrait/medium/238752-1726065554.png?lm=1,21
Santiago Juan Gentiletti Selak,1985-01-09,Defender,Argentina,https://img.a.transfermarkt.technology/portrait/medium/30782-1411570442.jpg?lm=1,31
Lucas Rodrigo Biglia,1986-01-30,Midfielder,Argentina,https://img.a.transfermarkt.technology/portrait/medium/26721-1669376509.jpg?lm=1,30
Stefan de Vrij,1992-02-05,Defender,Netherlands,https://img.a.transfermarkt.technology/portrait/medium/111196-1663572651.jpg?lm=1,24
Marco Parolo,1985-01-25,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/84545-1448467664.jpg?lm=1,31
Dušan Basta,1984-08-18,Defender,Serbia,https://img.a.transfermarkt.technology/portrait/medium/19694-1448467318.jpg?lm=1,31
Etrit Berisha,1989-03-10,Goalkeeper,Albania,https://img.a.transfermarkt.technology/portrait/medium/77825-1716969076.jpg?lm=1,27
